step,total,pde,ic,bc,bc_monitor,data,rmse_data,grad_norm,elapsed_s,val_total,val_pde,val_ic,val_bc,val_data,val_rmse_data,gen_gap_rmse_data
1,1.9237476587295532,0.04417647421360016,0.3409453332424164,0.8148065209388733,0.0,0.723819375038147,0.8507757489715765,22.671157446838258,0.1959989070892334,1.677694320678711,0.046613551676273346,0.2902846038341522,0.7165526151657104,0.6242434978485107,0.7900908162031189,-0.060684932768457545
2,0.9113730192184448,0.03373235464096069,0.20450401306152344,0.3878580331802368,0.0,0.28527864813804626,0.5341148267348944,8.494411056368456,0.5709972381591797,nan,nan,nan,nan,nan,nan,nan
3,0.732693076133728,0.024987872689962387,0.27108949422836304,0.26994410157203674,0.0,0.16667160391807556,0.4082543372924231,8.232301558800458,0.7599966526031494,nan,nan,nan,nan,nan,nan,nan
4,0.7632740139961243,0.018507422879338264,0.31786036491394043,0.26156944036483765,0.0,0.16533677279949188,0.4066162475842448,11.294748192278075,0.9549968242645264,nan,nan,nan,nan,nan,nan,nan
5,0.6977343559265137,0.013842839747667313,0.2740325629711151,0.2541559934616089,0.0,0.15570294857025146,0.3945921293820386,10.47997015988488,1.157996654510498,nan,nan,nan,nan,nan,nan,nan
6,0.5947421789169312,0.010272644460201263,0.18671688437461853,0.24809694290161133,0.0,0.14965571463108063,0.38685360878642533,7.53746689878587,1.3519959449768066,nan,nan,nan,nan,nan,nan,nan
7,0.5386802554130554,0.007259240373969078,0.11026836186647415,0.2611154317855835,0.0,0.16003723442554474,0.40004654032442866,4.970925958130291,1.5479955673217773,nan,nan,nan,nan,nan,nan,nan
8,0.53887939453125,0.0046262894757092,0.06590788811445236,0.28671425580978394,0.0,0.1816309690475464,0.42618184973969314,5.33791456040256,1.7399952411651611,nan,nan,nan,nan,nan,nan,nan
9,0.5455759167671204,0.002563582034781575,0.045012958347797394,0.3015173673629761,0.0,0.19648201763629913,0.44326292156721064,6.738843349503858,1.9209961891174316,nan,nan,nan,nan,nan,nan,nan
10,0.518339216709137,0.0013647614978253841,0.03249531239271164,0.29014694690704346,0.0,0.19433216750621796,0.4408312233794448,7.252138385739722,2.117994546890259,nan,nan,nan,nan,nan,nan,nan
11,0.4354846477508545,0.0012264763936400414,0.023038459941744804,0.2544543445110321,0.0,0.15676535665988922,0.3959360512253074,6.132745927014693,2.3039939403533936,nan,nan,nan,nan,nan,nan,nan
12,0.35202115774154663,0.0022008188534528017,0.02057081274688244,0.20931464433670044,0.0,0.11993488669395447,0.3463161657993379,4.213189802723978,2.509993553161621,nan,nan,nan,nan,nan,nan,nan
13,0.29326409101486206,0.00419584009796381,0.03054630197584629,0.17016936838626862,0.0,0.08835256099700928,0.297241586923851,1.7527627199346303,2.714994192123413,nan,nan,nan,nan,nan,nan,nan
